category	name	domain	whois_com	fed_active	fed_dissolved	fed_total	fed_sample	fed_error
pro_invented_short	Calveth	calveth.com	TAKEN	0	0	0		
compound_modern	Calvex	calvex.com	TAKEN	0	1	1	Calvex Capital Corporation (Dissolved by the cor)	
tech_general	Calvik	calvik.com	TAKEN	0	0	0		
enterprise_invented	Calvora	calvora.com	TAKEN	0	0	0		
tech_short	Calvox	calvox.com	TAKEN	0	0	0		
tech_general	Calwave	calwave.com	TAKEN	0	1	1	CALWAVE INC. (Inactive - Amalgamat)	
tech_general	Calwright	calwright.com	TAKEN	0	0	0		
tech_mid	Caradel	caradel.com	TAKEN	0	0	0		
two_word_pro	Cedarline	cedarline.com	TAKEN	2	0	2	Cedarline Ventures Ltd. (Active)	
two_word_pro	Cedarpath	cedarpath.com	TAKEN	0	0	0		
enterprise_invented	Cendor	cendor.com	TAKEN	0	0	0		
tech_mid	Cendore	cendore.com	AVAILABLE	0	0	0		
tech_general	Cendoria	cendoria.com	TAKEN	0	0	0		
greek_roman_chad	Centurioncore	centurioncore.com	TAKEN	0	0	0		
greek_roman_chad	Centurionforge	centurionforge.com	TAKEN	0	0	0		
greek_roman_chad	Centurionworks	centurionworks.com	TAKEN	0	0	0		
geographic	ClarksonLabs	clarksonlabs.com	TAKEN	0	0	0		
two_word_pro	Cleargate	cleargate.com	TAKEN	0	0	0		
enterprise_invented	Cobalta	cobalta.com	TAKEN	0	0	0		
enterprise_invented	Cogitan	cogitan.com	TAKEN	0	0	0		
tech_latin_abstract	Cogitos	cogitos.com	TAKEN	0	0	0		
tech_latin_abstract	Coraxis	coraxis.com	TAKEN	0	0	0		
enterprise_invented	Cordial	cordial.com	TAKEN	1	0	1	Cordial-IT INC. (Active)	
tech_general	Crelvant	crelvant.com	TAKEN	0	0	0		
tech_general	Crento	crento.com	TAKEN	0	0	0		
tech_mid	Datrix	datrix.com	TAKEN	0	0	0		
tech_general	Domvora	domvora.com	TAKEN	0	0	0		
tech_general	Dornova	dornova.com	TAKEN	0	0	0		
tech_general	Dremara	dremara.com	TAKEN	0	0	0		
pro_invented_short	Endwell	endwell.com	TAKEN	0	0	0		
tech_general	Felvaron	felvaron.com	TAKEN	0	0	0		
tech_general	Ferenova	ferenova.com	TAKEN	0	0	0		
tech_general	Fernoria	fernoria.com	TAKEN	0	0	0		
tech_general	Ferto	ferto.com	TAKEN	0	0	0		
tech_general	Florant	florant.com	TAKEN	0	1	1	SYLVAIN FLORANT INSTALLATIONS INC. (Dissolved for non-co)	
enterprise_invented	Frenta	frenta.com	TAKEN	0	0	0		
tech_general	Gerto	gerto.com	TAKEN	0	0	0		
enterprise_invented	Glasten	glasten.com	TAKEN	0	0	0		
tech_short	Glex	glex.com	TAKEN	0	0	0		
enterprise_invented	Glexa	glexa.com	TAKEN	0	0	0		
tech_general	Glexar	glexar.com	TAKEN	0	0	0		
greek_roman_chad	Heliosforge	heliosforge.com	TAKEN	0	0	0		
greek_roman_chad	Heliosworks	heliosworks.com	TAKEN	0	0	0		
tech_latin_abstract	Helixar	helixar.com	TAKEN	0	0	0		
tech_mid	Helixor	helixor.com	TAKEN	0	0	0		
tech_general	Hento	hento.com	TAKEN	0	0	0		
greek_roman_chad	Heraclesforge	heraclesforge.com	TAKEN	0	0	0		
two_word_pro	Holdwell	holdwell.com	TAKEN	0	0	0		
tech_latin_abstract	Hyperia	hyperia.com	TAKEN	1	0	1	HYPERIA CAPITAL INC. (Active)	
greek_roman_chad	Hyperionforge	hyperionforge.com	TAKEN	0	0	0		
greek_roman_chad	Hyperionworks	hyperionworks.com	TAKEN	0	0	0		
tech_general	Indrar	indrar.com	TAKEN	0	0	0		
two_word_pro	Ironbench	ironbench.com	TAKEN	0	0	0		
tech_general	Ivelta	ivelta.com	TAKEN	0	0	0		
tech_general	Iverto	iverto.com	TAKEN	0	0	0		
tech_general	Jorto	jorto.com	TAKEN	0	0	0		
tech_general	Kalvor	kalvor.com	TAKEN	0	0	0		
tech_short	Kalvora	kalvora.com	TAKEN	0	0	0		
modern_abstract	Karpath	karpath.com	TAKEN	0	0	0		
compound_modern	Karplex	karplex.com	TAKEN	0	0	0		
tech_latin_abstract	Karraxis	karraxis.com	AVAILABLE	0	0	0		
enterprise_invented	Karvanta	karvanta.com	TAKEN	0	0	0		
pro_invented_short	Karven	karven.com	TAKEN	1	0	1	KARVEN Tech Solutions Inc. (Active)	
tech_latin_abstract	Karveritas	karveritas.com	AVAILABLE	0	0	0		
tech_general	Karvex	karvex.com	TAKEN	0	0	0		
tech_general	Karvik	karvik.com	TAKEN	0	0	0		
modern_abstract	Kelven	kelven.com	TAKEN	0	0	0		
modern_abstract	Korven	korven.com	TAKEN	1	0	1	Korven Dynamics Inc. (Active)	
tech_modern	Krenant	krenant.com	AVAILABLE	0	0	0		
tech_modern	Krenare	krenare.com	TAKEN	0	0	0		
tech_modern	Krendanti	krendanti.com	AVAILABLE	0	0	0		
tech_short	Krenora	krenora.com	TAKEN	0	0	0		
enterprise_invented	Krenta	krenta.com	TAKEN	0	0	0		
geographic	LakeshoreLabs	lakeshorelabs.com	TAKEN	0	0	0		
geographic	LakeshoreWorks	lakeshoreworks.com	TAKEN	0	0	0		
tech_general	Lavendrik	lavendrik.com	TAKEN	0	0	0		
tech_general	Lavron	lavron.com	TAKEN	0	0	0		
two_word_pro	Linenfield	linenfield.com	TAKEN	0	0	0		
moggy_sigma	Lionclad	lionclad.com	TAKEN	0	0	0		
moggy_sigma	Lionforge	lionforge.com	TAKEN	1	0	1	LIONFORGE INDUSTRIES INC. (Active)	
moggy_sigma	Lionvault	lionvault.com	TAKEN	0	0	0		
tech_general	Lumadron	lumadron.com	TAKEN	0	0	0		
enterprise_invented	Lumanta	lumanta.com	TAKEN	0	0	0		
tech_general	Lumarica	lumarica.com	TAKEN	0	0	0		
tech_general	Lumaris	lumaris.com	TAKEN	0	0	0		
tech_general	Lumaros	lumaros.com	TAKEN	0	0	0		
tech_general	Lumatic	lumatic.com	TAKEN	0	0	0		
tech_general	Lumatide	lumatide.com	TAKEN	0	0	0		
pro_invented_short	Lumendel	lumendel.com	TAKEN	0	0	0		
enterprise_invented	Lumera	lumera.com	TAKEN	2	1	3	Lumera Advisory Inc. (Active)	
enterprise_invented	Lumeris	lumeris.com	TAKEN	0	0	0		
tech_latin_abstract	Lumitas	lumitas.com	TAKEN	0	0	0		
tech_general	Lumivity	lumivity.com	TAKEN	0	0	0		
tech_general	Lummex	lummex.com	TAKEN	0	0	0		
tech_general	Lumodex	lumodex.com	TAKEN	0	0	0		
tech_general	Lumometric	lumometric.com	TAKEN	0	0	0		
tech_general	Lumonex	lumonex.com	TAKEN	0	0	0		
tech_general	Lumoria	lumoria.com	TAKEN	1	0	1	Lumoria Inc. (Active)	
tech_latin_abstract	Lumraxis	lumraxis.com	AVAILABLE	0	0	0		
tech_general	Lumtor	lumtor.com	TAKEN	0	0	0		
tech_latin_abstract	Lumveritas	lumveritas.com	AVAILABLE	0	0	0		
tech_general	Lumverith	lumverith.com	TAKEN	0	0	0		
tech_general	Lumvex	lumvex.com	TAKEN	1	0	1	LUMVEX ELECTRIC INC. (Active)	
tech_general	Lumvik	lumvik.com	TAKEN	0	0	0		
tech_short	Lumvo	lumvo.com	TAKEN	0	0	0		
tech_general	Lumwave	lumwave.com	TAKEN	0	0	0		
modern_abstract	Lupath	lupath.com	TAKEN	0	0	0		
modern_abstract	Lurent	lurent.com	TAKEN	0	0	0		
personal_brand	M34Group	m34group.com	TAKEN	0	0	0		
greek_roman_chad	Magnusforge	magnusforge.com	TAKEN	0	0	0		
greek_roman_chad	Magnusridge	magnusridge.com	TAKEN	0	0	0		
greek_roman_chad	Magnusvault	magnusvault.com	TAKEN	0	0	0		
greek_roman_chad	Magnusworks	magnusworks.com	TAKEN	0	0	0		
two_word_pro	Maplewright	maplewright.com	TAKEN	0	0	0		
tech_mid	Marador	marador.com	TAKEN	0	0	0		
enterprise_invented	Marandel	marandel.com	TAKEN	0	0	0		
tech_mid	Marandor	marandor.com	TAKEN	0	0	0		
tech_modern	Marant	marant.com	TAKEN	0	0	0		
enterprise_invented	Marantha	marantha.com	TAKEN	0	0	0		
tech_modern	Marare	marare.com	TAKEN	0	0	0		
tech_general	Maratic	maratic.com	TAKEN	0	0	0		
